Player,Nation,Pos,DF,FW,MF,GK,Squad,Top5,Bot5,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1-Mar,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
P. Isa,Eastern Sleboube,MF,0,0,1,0,Horrible Grizzlies,No,No,24,1996,0.66,-0.07,2.81,-0.06,0.02,3.03,-0.06,-0.03,0,13.8,0.04,-0.06,0.04,0.54,0.65,0.24,-0.66,-0.6,21.39,27.11,78.82,264.39,70.02,15.72,18.61,84.56,4.2,5.67,74.95,-0.06,1.46,-0.01,-0.08,0.06,0.06,-0.09,1.39,-0.02,0.05,1.36,1.34,1.41,0.06,1.41,0.03,0.09,-0.05,0,-0.03,9.95,4.26,42.98,1.44,7.1,1.44,0.01,-0.02,0.05,0.07,-0.09,1.39,-0.03,0.03,,,,,,,,,,,,,,,,,,,
T. Jakobsson,Eastern Sleboube,MF,0,0,1,0,Horrible Grizzlies,No,No,28,1992,2.3,0.08,1.74,-0.02,0,1.77,-0.01,-0.04,0,16.06,0,-0.05,0,0.18,0.1,0.15,-0.11,-0.16,31.71,42.25,75.23,638.22,147.31,14.25,16.11,89.17,8.69,12.56,69.05,7.93,11.29,69.16,-0.04,0.04,-0.01,0.5,3.06,0.84,0.87,2.64,3.44,1.79,0.94,2.2,0.48,0.91,2.54,33.26,1.68,23.57,9.93,42.58,6.1,11.38,6.01,1.74,0.48,0.07,1.28,3.11,6.48,1.77,0.06,,,,,,,,,,,,,,,,,,,
D. Rahmawati,Eastern Sleboube,MFFW,0,0,1,0,Horrible Grizzlies,No,No,25,1995,1.82,0.56,1.07,0.53,49.93,1.04,0.6,0.4,0.92,16.71,0.1,-0.08,0.59,0.13,0.21,0.07,0.5,0.34,24.18,31.14,77.91,388.49,88.95,11.69,13.16,87.95,11.12,12.66,87.59,1,3.15,33.29,-0.07,0.32,-0.24,2.17,2.7,2.57,-0.07,4.82,0.98,0.48,-0.06,0.57,0.5,0.57,1.09,50.06,0.52,16.26,6.4,38.74,1.01,8.44,6.92,1.02,0.09,0,0.97,0.02,1.08,0.01,0.07,,,,,,,,,,,,,,,,,,,
L. Prasad,Eastern Sleboube,MFFW,0,0,1,0,Horrible Grizzlies,No,No,24,1996,3.03,0.1,1.72,0.26,19.96,1.61,0.3,-0.04,-0.1,20.66,-0.03,-0.02,-0.01,0.14,0.08,0.08,-0.14,-0.09,33.25,43.32,76.84,616,187.2,13.95,16.05,87.42,12.99,17.03,76.43,5.08,8.37,60.09,-0.04,0.09,0,1.08,1.75,1.97,1.31,3.27,1.65,1.6,0.24,0.66,0.75,1.1,1.31,75.04,0.26,20.77,5.65,27.44,2.95,10.34,7.41,2.08,0.05,-0.1,1.91,1.02,2.64,0.06,-0.06,,,,,,,,,,,,,,,,,,,
W. Bwanali,Eastern Sleboube,MFFW,0,0,1,0,Horrible Grizzlies,No,No,26,1994,2.68,0.05,1.12,-0.02,-0.08,1.06,-0.07,0.03,0,21.07,0.02,0.08,-0.07,0.1,0.11,0.13,0.01,-0.14,31.57,40.64,77.38,601.17,97.38,12.54,15.97,79.08,13.32,16.28,81.75,5.25,6.96,73.64,-0.04,0.14,-0.1,0.29,2.13,0.32,0.01,1.49,2.9,1.44,1.02,1.82,0.03,0.82,3.4,22.14,2.52,22.7,4.75,21.21,7.33,11.41,3.69,1.92,0.41,-0.06,1.39,2.3,5.24,0.82,0.29,,,,,,,,,,,,,,,,,,,
Aggregate,Eastern Sleboube,,,,,,,No,,542,39860,32.75,1.02,11.6,1.97,245,11.66,1.99,0.28,0.87,149.22,0.66,0.22,0.65,1.68,1.15,0.78,-0.59,-0.62,569.73,749.86,1493.7,11678.92,4092.8,217.93,251.92,1709.54,248.17,298.5,1678.02,91.9,173.6,800.42,-0.11,1.59,-0.44,11.86,36.49,13.5,3.61,49.05,41.98,24.55,21.3,19.36,1.91,17.42,34.91,584.55,17.9,270.2,87.16,599.31,90.89,119.02,60.22,26.19,5.28,0.57,20.02,22.11,64.58,40.52,2.32,3.11,3.03,269.96,2.92,5.11,4.97,9.02,3.91,85.02,0.53,0,1.61,0.46,50.09,-0.18,0,-0.06,0.07,0
A. Dickson,Esia,DF,1,0,0,0,Horrible Grizzlies,No,No,27,1994,3.73,-0.09,0.34,0.28,99.91,0.33,0.17,-0.09,0.01,8.07,0.01,-0.08,0.02,0.07,0.09,0.35,-0.17,-0.16,69.15,78.92,87.65,1386.84,412.18,22.62,23.89,94.58,36.38,39.72,91.49,9.65,14.27,68.52,0.04,-0.1,0.1,0.33,7.28,0.52,-0.04,5.35,2.28,1.53,0.63,1.51,0.29,1.04,1.22,80.08,0.35,7.31,3.67,50.02,2.31,4.72,0.33,0.5,0.34,-0.05,0.34,0.25,2.71,3.38,-0.09,,,,,,,,,,,,,,,,,,,
D. Adu,Esia,DF,1,0,0,0,Horrible Grizzlies,No,No,26,1994,3.51,0.36,1.76,1.06,66.68,1.79,1.14,0.08,0.28,10.49,-0.07,0.03,0,0.16,0.2,0.24,0.09,0.01,45.31,54.27,83.69,770.29,175.96,20.64,22.37,92.23,20.64,24.53,83.71,3.42,5.65,59.9,0.3,0.23,0,1.34,1.23,1.76,1.08,2.87,0.87,0.53,0.58,-0.06,0.26,-0.02,0.87,0.08,0.91,12.25,2.92,23.26,2.63,6.28,3.36,1.41,-0.09,0.05,1.38,2.91,3.61,1.18,-0.09,,,,,,,,,,,,,,,,,,,
D. Svensson,Esia,DF,1,0,0,0,Horrible Grizzlies,No,No,27,1993,3.98,0.08,0.58,0.25,49.93,0.6,0.16,-0.02,-0.08,9.36,0.06,-0.04,-0.06,-0.06,0,0.09,-0.05,-0.08,69.04,73.41,93.9,1400.42,437.8,19.8,20.37,97.51,41.99,42.78,98.17,6.93,9.75,71.78,-0.03,0,0.09,-0.01,9.17,0.07,0,4.27,0.8,0.34,0.08,0.83,-0.06,-0.03,0.19,-0.07,0.26,9.49,0.94,10.46,3.78,4.96,0.81,1.56,-0.07,0.04,1.49,0.97,1.8,2.23,0,,,,,,,,,,,,,,,,,,,
G. Nisha,Esia,DF,1,0,0,0,Horrible Grizzlies,No,No,25,1995,4.05,0.06,0.29,0.22,100.05,0.3,0.28,-0.1,0,7.54,-0.05,-0.05,-0.05,0.09,-0.02,0.14,-0.06,-0.08,55.54,65.27,85.1,1021.34,261.81,23.24,24.23,95.89,26.27,30.05,87.51,5.47,10.23,53.72,0.21,0.19,0.07,1.66,3.19,3.17,1.19,3.91,1.56,0.99,1.28,0.28,0.07,0.82,1.1,75.09,0.24,7.41,2.27,29.92,2.16,2.9,2.24,0.46,0.31,-0.07,0.34,1.04,2.44,1.32,-0.01,,,,,,,,,,,,,,,,,,,
K. Shumba,Esia,DF,1,0,0,0,Horrible Grizzlies,No,No,32,1988,3.78,0.07,1.26,-0.07,-0.05,1.28,0.09,0.04,0,8.76,-0.05,-0.02,-0.07,0.11,0.12,0.08,-0.05,-0.11,80.38,85.49,93.97,1815.99,502.12,18.37,18.56,98.66,44,45.66,96.44,17.61,20.32,86.62,0.24,-0.05,0.14,0.64,7.34,0.83,0.08,5.76,2.25,1.03,1.35,0.54,0.24,0.85,2.19,37.44,1.28,8.88,3.24,36.48,5.37,3.01,0.52,0.87,0.6,0.04,0.24,1.43,3.5,5.07,0.01,,,,,,,,,,,,,,,,,,,
U. Adjei,Esia,DF,1,0,0,0,Horrible Grizzlies,No,No,29,1991,0.23,0.08,3.41,-0.02,-0.06,3.18,0.01,-0.06,0,16.03,-0.05,0.1,0.05,0.05,-0.08,-0.08,-0.03,-0.09,30.04,36.77,81.75,626.79,263.21,6.71,6.7,99.95,13.27,20.06,66.72,6.61,6.64,100.1,-0.08,0.34,-0.33,3.25,0.1,3.33,3.38,-0.02,0.02,0.09,0,0.05,0.03,-0.07,6.74,-0.09,6.62,23.28,6.63,28.53,13.32,9.96,0.03,3.33,-0.06,0.02,3.31,-0.05,0.04,3.3,0.04,,,,,,,,,,,,,,,,,,,
L. Mitchell,Esia,DFMF,1,0,0,0,Horrible Grizzlies,No,No,25,1995,0.2,-0.03,0.03,-0.09,0,0.02,0.06,0,0,0,-0.06,-0.05,-0.05,0.09,0.06,0,0.01,0.05,35.08,34.93,100.06,655.01,304.92,10.07,9.91,100.05,24.93,25.04,99.97,0.07,0.01,0,-0.09,-0.02,0.06,-0.02,0,-0.01,0.1,0.06,0.02,0.08,-0.01,0.02,0.01,0.06,-0.03,0,-0.05,10.04,0.04,0.08,5.1,4.97,-0.09,4.93,-0.05,-0.09,4.91,-0.04,-0.01,5.05,-0.04,,,,,,,,,,,,,,,,,,,
Z. Braun,Esia,DFMF,1,0,0,0,Horrible Grizzlies,No,No,27,1994,0.31,-0.06,0.02,0.09,0,-0.03,-0.07,0,0,0,0.08,0.06,-0.09,-0.09,0.05,0,0.03,-0.07,102.54,112.44,91.01,2157.43,454.9,25,24.93,99.97,60.06,60.04,100.07,14.92,22.55,66.76,0,-0.06,-0.04,-0.02,15.07,2.53,-0.02,7.59,2.6,2.53,2.46,0.09,0.03,2.59,5.03,49.91,2.53,12.45,4.99,40.06,4.93,5.07,2.55,2.42,-0.05,0.03,2.59,-0.06,2.46,2.44,0.1,,,,,,,,,,,,,,,,,,,
Q. Günther,Esia,FW,0,1,0,0,Horrible Grizzlies,No,No,24,1996,1.22,0.08,1.68,0.79,50.07,1.68,0.86,0.09,-0.07,11.39,0,0.01,0.03,0.4,0.52,0.27,-0.35,-0.46,21.69,28.37,76.5,305.82,49.2,11.76,13.27,87.55,9.13,11.79,78.56,-0.03,0.88,0.03,0.03,-0.06,-0.08,-0.05,0.83,-0.07,-0.09,0.9,-0.08,0.05,0.08,0.01,-0.07,0.07,0,0,0.04,9.95,4.21,41.76,0.81,3.3,5.75,-0.04,0.09,-0.03,-0.09,-0.01,-0.03,-0.08,-0.09,,,,,,,,,,,,,,,,,,,
Y. Nartey,Esia,FW,0,1,0,0,Horrible Grizzlies,No,No,25,1995,2.81,-0.05,1.48,0.33,25.01,1.42,0.33,0.09,0.06,14.1,0.02,-0.03,0.01,0.03,0,0.12,-0.13,-0.06,22.56,28.6,78.87,329.3,17.97,13.23,16.1,82.26,6.74,8.2,82.62,1.15,2.07,49.93,-0.09,0.03,-0.02,0.42,1.13,-0.08,-0.06,0.01,1.76,1.38,-0.02,1.08,0.71,0.09,0.27,0.08,0.34,15.32,5.29,34.9,0.65,7.18,7.43,0.27,-0.05,0.09,0.44,1.14,2.87,0.42,-0.03,,,,,,,,,,,,,,,,,,,
L. Tu,Esia,FWDF,0,1,0,0,Horrible Grizzlies,No,No,25,1996,1.28,-0.07,0.84,-0.03,0.04,0.87,-0.03,0.07,0,26.62,0.03,-0.05,0.74,0.17,0.12,0.1,0,-0.18,39.94,49.24,81.33,626.97,97,22.22,23.19,96.8,14.66,16.27,90.55,2.37,6.2,37.54,-0.07,-0.07,-0.08,0.81,0.68,3.05,1.54,3,1.57,1.59,0.03,0.08,1.44,0.83,0.77,100,0.08,8.44,3.16,36.34,3.16,-0.01,5.36,0.77,-0.05,-0.08,0.83,1.49,3.14,-0.06,-0.09,,,,,,,,,,,,,,,,,,,
U. Musa,Esia,FWDF,0,1,0,0,Horrible Grizzlies,No,No,28,1992,0.14,0.03,0.02,0.05,0,0.07,0,0,0,0,-0.05,0.08,-0.05,-0.07,0.07,0,-0.05,0.06,79.96,99.92,80.05,929.94,289.95,49.93,50.02,100.08,20.1,30.03,66.64,0.02,9.99,-0.06,-0.04,0.04,0.03,-0.03,9.92,0.02,-0.06,0.04,0.01,0.07,-0.07,-0.07,-0.01,-0.09,-0.04,0,-0.02,19.92,9.98,50.01,0.05,10.05,10.04,-0.02,0.05,-0.09,0.04,10.06,10.04,-0.08,-0.09,,,,,,,,,,,,,,,,,,,
H. Alobo,Esia,FWMF,0,1,0,0,Horrible Grizzlies,No,No,21,1999,3.29,0.63,3.3,1.43,45.55,3.26,1.49,0.18,0.32,14.07,0.07,-0.06,0.07,0.75,0.77,0.3,-0.15,-0.13,29.11,35.42,82.14,454.72,112.7,17.37,19.99,86.5,9.92,10.88,91.69,1.79,2.83,66.75,-0.07,0.37,-0.2,1.24,1.27,1.85,0.08,3.07,0.32,0.35,-0.02,0.06,0.36,0.01,0.36,0.08,0.34,15.88,4.87,30.71,2.64,5.5,7.58,1.73,0.52,0.09,1.26,0.1,0.38,0.37,-0.02,,,,,,,,,,,,,,,,,,,
B. Harahap,Esia,GK,0,0,0,1,Horrible Grizzlies,No,No,34,1986,3.91,0.1,0.07,-0.04,0,-0.01,-0.06,0,0,0,-0.09,-0.09,0.04,-0.02,0.07,0,-0.04,-0.1,30.1,35.39,85.07,828.45,467.57,5.52,5.4,99.97,13.39,13.23,100,11.33,16.55,68.27,0.1,-0.06,-0.03,0.06,0.17,-0.03,0.01,0.09,-0.01,0.06,0.01,0.03,-0.08,0.08,-0.02,0,-0.06,0.02,-0.06,0,-0.03,0.02,0.02,-0.03,-0.03,0.1,0.09,0.03,0,0.06,-0.09,4.03,3.99,360,4.04,1.7,1.81,2.48,0.93,30.01,0.2,0.18,0.54,0.04,-0.04,-0.09,-0.04,0.06,0.05,0
A. Kuhn,Esia,MF,0,0,1,0,Horrible Grizzlies,No,No,30,1990,2.31,0.09,0.38,-0.05,-0.02,0.42,-0.05,0,0,12.01,0.06,-0.07,-0.02,0.08,0.14,0.22,0.02,-0.01,71.64,76.39,93.95,1362.46,206.38,29.63,31.21,94.71,32.12,33.83,95.02,9.26,9.64,95.67,-0.07,0.05,0.04,0,9.09,-0.05,0.04,3.78,1.69,1.15,0.34,1.27,0.09,0.44,1.72,24.97,1.31,14.94,3.35,22.29,2.5,6.62,5.93,0.76,-0.06,0.04,0.85,0.83,2.42,-0.09,-0.1,,,,,,,,,,,,,,,,,,,
Y. Nagudi,Esia,MF,0,0,1,0,Horrible Storm,No,No,31,1990,4.02,0.04,1.04,0.09,0.07,1.01,-0.08,0.08,0,20.34,0.03,0,0.58,0.07,0.1,0.08,-0.12,-0.01,87.77,97.56,90.09,1947.79,597.47,27.26,29.02,94.07,39.43,42.31,93.41,19.51,24.76,78.87,0.05,0.05,-0.1,1.57,16.07,1.25,-0.05,13.27,3.83,2.72,1.96,1.22,0.48,1.25,3.47,35.61,2.22,19.41,5.95,30.9,5.74,11.1,2.69,1.44,-0.09,0.08,1.44,3.17,7.03,0.83,0.09,,,,,,,,,,,,,,,,,,,
J. Halvorsen,Esia,MFFW,0,0,1,0,Horrible Storm,No,No,17,2003,0.14,-0.01,0.03,0.08,0,-0.02,0.08,0,0,0,-0.02,0.07,-0.02,-0.04,-0.02,0,-0.05,0.05,59.92,60.01,99.95,840.05,9.91,40.03,40.09,99.94,20.01,19.94,100.01,0,0.07,0,-0.05,0.06,-0.01,0.1,-0.09,0,0.02,-0.03,-0.07,0,0.01,0.02,-0.08,-0.06,10.06,0.08,10.1,19.93,20,99.94,0.04,20.08,0.1,-0.01,-0.02,0.06,-0.05,-0.08,0.03,0.08,-0.05,,,,,,,,,,,,,,,,,,,
O. Nairuba,Esia,MFFW,0,0,1,0,Horrible Storm,No,No,31,1989,3.13,-0.03,1.9,0.4,16.64,1.77,0.32,0.07,0.04,16.37,0.09,0.04,0.27,0.24,0.26,0.21,-0.37,-0.26,35.34,46.5,75.77,539.62,123.17,16.22,20.96,77.67,15.69,18.14,86.23,1.16,3.52,36.42,0.02,0.16,-0.16,1.27,2.44,1.23,0.22,4.72,0.92,0.56,-0.05,0.58,0.27,0.4,1.25,25.09,1.01,17.76,4.71,26.25,2.49,9.34,5.89,0.9,0,0.1,0.98,0.58,1.57,0.72,0.01,,,,,,,,,,,,,,,,,,,
T. Astuti,Esia,MFFW,0,0,1,0,Horrible Storm,No,No,25,1995,1.69,0.68,3.15,1.29,39.95,3.18,1.2,0.21,0.51,18.19,-0.09,-0.06,-0.09,0.28,0.15,0.05,0.37,0.41,41.33,45.07,91.75,711.98,156.91,16.92,17.48,96.35,20.09,21.92,91.41,3.14,3.84,83.29,-0.08,0.11,0.02,0.65,4.47,-0.07,-0.08,4.44,0.59,0.68,0.55,0.03,0.09,-0.08,3.81,-0.08,3.69,13.7,3.07,22.6,4.42,8.77,0.67,1.16,0.08,0.06,1.33,0.63,1.2,0.6,0.1,,,,,,,,,,,,,,,,,,,
Aggregate,Esia,,,,,,,No,,509,37875,43.73,1.96,21.58,6.06,493.77,21.12,5.9,0.64,1.07,193.34,-0.08,-0.21,1.31,2.31,2.6,2.17,-1.1,-1.22,1006.44,1143.97,1652.6,18711.21,4941.13,396.54,417.69,1794.74,468.82,514.42,1700.22,114.38,169.77,1024.11,0.32,1.21,-0.5,13.21,89.36,19.3,7.34,63.08,20.93,15.73,9.19,7.57,4.07,8.18,38.96,428.27,31.19,246.38,89.23,614.51,62.07,123.82,61.21,22.41,1.37,0.39,21.72,24.39,45.2,26.74,-0.44,4.03,3.99,360,4.04,1.7,1.81,2.48,0.93,30.01,0.2,0.18,0.54,0.04,-0.04,-0.09,-0.04,0.06,0.05,0
E. Peng,Galamily,DF,1,0,0,0,Horrible Storm,No,No,27,1993,5,-0.02,0.2,0.02,-0.07,0.23,0,0.06,0,13.94,-0.08,-0.08,0.05,-0.01,-0.02,0.03,0.06,-0.05,32.77,38.29,85.87,769.02,228.05,10.05,10.99,90.81,14.03,14.9,94.51,8.86,11.99,73.34,0.39,0.14,0.42,0.11,1.63,0.19,0.01,2.08,0.56,0.61,0.4,0.15,0.08,0.24,0.63,33.38,0.49,7.01,2.44,34.35,4.41,2.38,0.26,2.77,1.63,-0.01,1.23,1.68,2.13,8.65,0.03,,,,,,,,,,,,,,,,,,,
F. Saidi,Galamily,DF,1,0,0,0,Horrible Storm,No,No,30,1991,3.93,0.02,0.33,-0.05,0.1,0.34,0.07,-0.05,0,6.04,-0.08,-0.05,0.03,0.09,0.02,0.19,0.03,-0.04,36.47,47.02,77.75,637.41,272.03,19.06,20.41,92.64,12.87,15.93,79.75,4.16,9.81,43.57,-0.04,0.05,-0.02,0.43,2.97,0.7,0.07,3.82,2.31,1.42,1.57,0.5,0.29,0.82,2,37.46,1.23,12.85,4.72,37.31,6.85,5.23,0.84,1.25,0.52,-0.09,0.67,3.22,5.46,3.33,0.23,,,,,,,,,,,,,,,,,,,
P. Kud?,Galamily,DF,1,0,0,0,Horrible Storm,No,No,31,1989,4.65,0.09,-0.04,0,0,0,-0.03,0,0,0,0.04,0.04,0.08,-0.02,-0.09,0,-0.03,-0.03,31.69,37.38,84.73,754.27,217.21,8.36,8.69,95.17,14.77,16.21,90.79,8.79,12.04,71.98,0.08,0.05,-0.08,-0.1,1.05,0.42,0.1,1.71,0.97,0.8,0.39,0.69,-0.05,0.53,2.12,19.99,1.72,11.44,4.46,39,6.52,4.48,0.48,0.94,0.66,0.05,0.21,1.33,2.39,7.62,0.08,,,,,,,,,,,,,,,,,,,
W. Khoury,Galamily,DF,1,0,0,0,Horrible Storm,No,No,28,1992,0.24,-0.06,-0.03,0.07,0,-0.01,-0.08,0,0,0,-0.05,-0.02,-0.07,-0.08,-0.04,0,-0.02,-0.05,56.77,63.23,89.43,1219.98,270.09,13.24,13.27,100.06,36.63,36.65,100.01,6.65,13.28,49.99,0.02,0.01,0.1,-0.08,10.02,0.03,-0.07,0,-0.03,-0.09,-0.06,-0.03,0.08,-0.01,-0.06,0,0.05,20.03,13.38,66.67,13.32,6.67,-0.1,-0.05,-0.08,-0.04,-0.06,-0.02,0.09,3.34,-0.07,,,,,,,,,,,,,,,,,,,
Z. Iqbal,Galamily,DF,1,0,0,0,Horrible Storm,No,No,28,1992,5.07,0.07,0.58,-0.08,0.07,0.61,-0.03,0.1,0,23.59,0.01,0.03,0.23,0.05,0.12,-0.02,0,0.06,47.1,65.19,72.09,806.1,473.58,24.82,26.08,95.34,16.32,24,68.23,5.45,13.27,41,0.14,0.21,-0.03,1.41,3.32,2.29,0.95,6.72,2.24,1.2,1.12,0.73,0.21,0.89,1.49,57.12,0.68,14.67,3.67,24.62,6.44,6.24,2.02,2.09,0.34,-0.03,1.62,3.89,6,2.99,0.07,,,,,,,,,,,,,,,,,,,
Z. Mugeni,Galamily,DF,1,0,0,0,Horrible Storm,No,No,28,1992,0.91,-0.09,0.97,0.03,0.04,1.04,-0.03,-0.05,0,12.02,-0.05,0.09,0.05,0.11,0.17,0.17,-0.2,-0.27,37.95,49.03,77.6,694.92,284.1,19.04,20.1,95.02,13.96,21,66.8,5.08,7.9,62.49,-0.03,0.02,0.08,-0.09,2.93,0.03,0.09,2.02,1,0,1.02,-0.03,-0.01,-0.01,0.94,0.04,1.08,4.02,1,24.94,2.98,0.91,-0.07,0.01,-0.07,-0.03,0.05,1.01,1.94,6.93,0.01,,,,,,,,,,,,,,,,,,,
E. Morelli,Galamily,FW,0,1,0,0,Horrible Storm,No,No,27,1993,3.49,0.05,0.32,0.27,100.08,0.33,0.33,-0.01,0.07,20.8,0.07,0.01,-0.03,0.07,-0.1,0,-0.04,0.03,25.12,31.66,79.34,357.63,84.32,14.54,16.3,89.54,6.88,8.48,80.01,1.48,2.86,49.91,0.07,0.16,-0.05,0.92,0.95,1.13,0.24,1.34,1.62,1.15,0.24,0.59,0.82,0.49,1.46,39.92,0.77,22.52,5.14,22.73,5.07,8.77,8.52,2.06,0.56,0.07,1.41,1.46,3.05,0.82,-0.02,,,,,,,,,,,,,,,,,,,
I. Y?ld?r?m,Galamily,FW,0,1,0,0,Horrible Storm,No,No,28,1992,0.3,-0.01,0.01,-0.03,0,0.09,0.09,0,0,0,-0.07,0.09,0.07,0.09,0.05,0,0.05,-0.07,19.94,30.1,66.67,284.91,84.91,12.54,17.52,71.43,2.51,2.44,100.03,2.46,5.05,50.07,-0.01,0.76,-0.8,2.49,-0.01,-0.05,0.02,-0.05,-0.09,-0.03,0.04,-0.01,0.05,0.09,0,0,0.05,20.01,2.5,12.56,2.51,9.99,7.57,0.1,0.1,-0.08,-0.06,2.52,2.43,0.01,-0.01,,,,,,,,,,,,,,,,,,,
I. Zyu,Galamily,FW,0,1,0,0,Horrible Storm,No,No,27,1993,0.6,-0.07,5.64,2.8,50.08,5.43,2.71,0.09,0,15.29,-0.08,-0.07,0.1,0.72,0.62,0.09,-0.79,-0.73,12.86,18.7,69.13,152.86,35.75,5.74,8.57,66.66,4.2,4.21,100.1,0.01,-0.05,0,-0.02,0.04,-0.09,1.49,1.48,0,-0.01,1.34,-0.02,-0.09,-0.01,0.05,-0.1,-0.02,0.01,0,-0.07,8.58,2.88,33.31,1.36,1.45,5.65,0.03,-0.07,0.07,-0.07,0.05,-0.08,-0.03,-0.03,,,,,,,,,,,,,,,,,,,
J. binti Ibrahim,Galamily,FW,0,1,0,0,Horrible Storm,No,No,31,1989,0.1,0.04,5.01,0.04,0.06,5.67,0.05,0.09,0,17.95,-0.01,0.08,-0.06,0.41,0.53,0.1,-0.4,-0.52,4.96,19.99,25.01,55.09,-0.01,5.01,19.98,25.07,-0.06,0.09,0,-0.04,-0.03,0,-0.07,-0.09,0.09,-0.04,0.03,0.05,0.09,0.02,0.1,0.02,0.01,0.07,0,0.01,5.04,-0.09,5.08,74.94,25.04,33.38,4.99,20.08,49.93,5.02,-0.1,-0.06,4.92,0,-0.06,0.1,-0.04,,,,,,,,,,,,,,,,,,,
K. Jakobsson,Galamily,FW,0,1,0,0,Horrible Storm,No,No,25,1996,4.48,1.15,3.45,1.92,53.38,3.43,1.74,0.17,0.49,17.09,0.2,0.18,0.31,0.57,0.36,0.18,0.6,0.62,16.42,22.77,71.94,257.31,41.52,7.65,10.64,72.2,7.14,7.66,91.12,0.81,1.41,66.68,-0.03,0.01,-0.01,0.07,1.52,0.37,-0.02,1.01,1.27,0.72,-0.01,0.6,0.62,0.33,1.1,19.9,0.83,11.05,2.48,22.37,0.96,5.51,4.86,0.01,0.08,-0.1,-0.09,0,1.34,1.16,0.06,,,,,,,,,,,,,,,,,,,
O. Acheng,Galamily,FW,0,1,0,0,Horrible Storm,No,No,18,2002,0.92,0.03,1.01,0.01,-0.06,1.09,-0.05,0,0,11.29,0.04,0.04,-0.01,0.05,0.16,0.02,-0.05,-0.17,17.78,27.88,63.95,302.21,96.61,8.96,12.23,72.61,7.78,11.13,69.94,1.02,4.5,24.98,-0.06,0.16,-0.22,1.17,-0.04,3.42,2.24,5.56,-0.05,-0.07,0.07,0.08,0.07,-0.07,1.06,0.05,1.2,16.69,4.4,26.73,2.14,8.89,5.55,-0.09,-0.03,-0.01,-0.03,0.05,-0.06,1.19,-0.09,,,,,,,,,,,,,,,,,,,
P. Purnomo,Galamily,FWMF,0,1,0,0,Horrible Storm,No,No,26,1994,2.56,0.07,0.46,-0.01,-0.09,0.39,-0.08,-0.03,0,14.94,-0.05,-0.02,0.06,-0.03,0.08,0.09,-0.1,0.1,32.72,43.22,75.99,535.11,123.12,17.14,20.5,84.24,11.53,12.31,93.5,2.41,6.75,35.32,0.03,0.25,-0.26,1.69,1.68,0.84,0.79,1.98,1.18,0.76,0.03,0.76,0.37,0.87,2.03,40.02,1.13,16.32,5.69,34.15,2.76,7.13,6.46,1.64,0.04,0.07,1.65,0.33,1.56,0.86,0.01,,,,,,,,,,,,,,,,,,,
Y. Atoo,Galamily,FWMF,0,1,0,0,Horrible Storm,No,No,25,1996,2.77,0.05,1.11,0.08,-0.03,1.19,0.03,-0.07,0,16.26,-0.06,0.07,-0.1,0.02,-0.01,0.08,-0.09,-0.13,29.51,39.69,74.75,556.64,141.02,17.74,18.55,96.07,7.32,11.51,64.55,4.35,7.74,57.09,-0.02,0.15,-0.25,2.58,1.2,0.46,0.02,2.54,0.32,0.03,0.27,-0.01,0.09,-0.02,1.43,-0.07,1.44,14.86,2.98,20.07,4.03,4.48,6.37,1.9,0.06,0.08,1.84,0.65,1.18,0.81,0.03,,,,,,,,,,,,,,,,,,,
U. Nishimura,Galamily,GK,0,0,0,1,Horrible Storm,No,No,31,1989,5.01,0.06,-0.07,-0.03,0,-0.08,0.09,0,0,0,0.08,0.09,-0.03,0.03,-0.06,0,-0.08,0.01,17.84,30.31,58.62,592.36,367.95,1.67,1.6,100.05,8.08,8.01,99.98,8.14,20.69,39.75,0.08,0.08,0.07,-0.07,0.02,0.06,-0.1,0.09,-0.02,-0.06,0.08,-0.01,-0.07,0,0.09,0,0.05,0.29,0.01,-0.07,0.22,-0.03,-0.01,0,0.07,-0.06,0.03,0.03,-0.04,-0.04,-0.05,4.94,4.93,449.99,5.03,0.71,0.77,3.21,2.28,75.01,0.48,0.25,0.5,0.3,40.04,-0.04,0.04,0.03,0.01,0
