Player,Nation,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Y. Low,Dosqaly,FWMF,Glistening Paladins,No,Yes,B,22,1996,16.52,0.21,1.68,0.42,27.64,1.72,0.58,0.06,0.41,15.81,0.09,0.03,0.05,0.16,0.22,0.19,0.03,0.09,23.65,32.22,72.87,362.26,88.66,13.56,16.05,84.44,7.05,9.33,76.68,1.94,4.34,45.2,0.12,0.18,-0.02,1.19,1.79,0.8,0.44,2,1.96,1.23,0.61,0.98,0.41,0.61,1.96,26.55,1.59,17.52,4.99,28.57,4.58,8.52,4.36,1.12,0.09,-0.02,1.22,0.35,2.41,0.48,0.08,,,,,,,,,,,,,,,,,,,
E. Ciobanu,Tercapetralgrorus,FWMF,Glistening Paladins,No,No,B,25,1994,10.1,0.28,2.94,0.89,30.93,2.82,0.95,0.2,0.3,14.46,0.06,0.02,0.07,0.35,0.3,0.17,-0.1,-0.03,11.71,16.06,73.21,176.49,21.25,6.86,7.88,87.21,3.89,6.31,60.99,0.61,1.08,70,0.08,0.13,-0.02,0.52,0.46,0.32,0.19,0.89,0.38,0.15,0.27,-0.09,0.21,0.1,0.6,-0.04,0.66,13.33,2.79,20.02,1.08,6.12,6.21,0.57,0.13,0.09,0.44,-0.08,0.38,0.88,-0.08,,,,,,,,,,,,,,,,,,,
F. Kimera,Dosqaly,GK,Glistening Paladins,No,Yes,B,22,1997,26.54,-0.09,-0.06,0.09,,0.01,-0.09,,,,-0.03,-0.01,-0.01,0.01,0.04,,0.07,0.01,27.69,38.68,71.55,841.17,469.68,3.59,3.7,97.85,12.85,13.07,98.68,11.19,21.86,50.99,-0.03,-0.03,-0.06,0.09,0.33,0.01,0.08,0.12,0.04,0.04,-0.03,0.08,0.02,-0.03,0.17,-0.02,0.07,0.35,0.06,27.38,0.45,0.09,-0.02,0.02,0.1,0.09,-0.07,-0.04,-0.02,0.07,-0.03,27.09,26.97,2398.02,26.6,1.25,1.19,4.74,3.62,75.74,0.28,0.43,0.3,0.3,25.89,0.28,0.13,0.02,-0.02,24.94
H. Jew,Landsfupua,GK,Glistening Paladins,No,No,B,26,1992,1.3,-0.06,0.06,0.01,,-0.07,0.02,,,,0.06,0.08,-0.03,-0.02,-0.02,,0.03,-0.02,19.94,29.21,68.39,657.92,389.38,2.13,2.17,99.94,9.32,9.3,100.06,8.56,17.82,47.93,0.02,-0.07,-0.09,0.04,0.04,0.01,0.04,0.1,0.07,0.09,0.08,-0.08,0.01,-0.06,0.06,,-0.03,2.15,-0.1,0.09,2.07,0.09,0.02,0.69,-0.01,0.09,0.69,0.06,0,0.05,-0.07,2.02,0.97,121.97,1.37,2.18,2.2,7.07,5.8,80.1,0.62,-0.05,0,0.79,100.08,0.71,0.75,-0.1,-0.1,0.02
F. Kabanda,Dosqaly,MF,Glistening Paladins,No,Yes,B,20,1999,17.27,-0.09,0.33,0.08,40.08,0.34,0.05,0.08,0.08,28.7,0.03,-0.03,0.06,0.01,-0.02,0.03,0.02,-0.01,42.19,48.48,87.02,921.66,174.29,12.06,14.35,83.83,21.98,23.51,92.81,7.87,9.52,82.57,0,0.06,-0.06,0.54,2.89,0.27,-0.07,2.78,2.78,2.15,1.27,1.4,0.13,0.52,1.31,43.55,0.82,18.34,5.98,32.19,6.58,10.36,1.33,0.88,0.18,-0.04,0.74,0.95,3.56,1.6,0.02,,,,,,,,,,,,,,,,,,,
H. Lwanga,Dosqaly,MF,Glistening Paladins,No,Yes,B,19,1999,1.56,0.58,2.5,0.55,25.05,2.55,0.54,0.2,0.97,23.81,0.02,-0.05,-0.03,0.05,0.1,0.11,0.65,0.51,45.61,51.2,88.91,1005.54,155.02,14.96,16.23,92.39,18.84,21.27,88.11,11.3,11.99,94.69,-0.02,0.11,-0.14,0.72,1.28,0.03,-0.06,1.84,-0.03,-0.04,-0.09,-0.1,0.07,0,0,,-0.01,16.29,7.57,46.19,5.7,9.44,1.31,1.33,0.02,-0.06,1.18,1.3,1.18,4.99,-0.07,,,,,,,,,,,,,,,,,,,
J. Takali,Dosqaly,MF,Glistening Paladins,No,Yes,B,21,1998,2.55,0.09,2.33,0.8,33.3,2.39,0.78,-0.05,-0.06,23.75,0.01,0.03,0.1,0.17,0.01,0.01,-0.08,-0.17,49.97,61.83,80.72,1003.45,280.49,18.75,22.39,84.52,23.56,27.39,85.88,7.27,10.72,67.82,0,0.08,-0.02,1.54,6.44,0.83,0.05,5.46,5.83,4.14,1.85,3.02,0.84,1.15,2.69,42.96,1.64,31.29,12.65,40.69,11.91,14.3,5.01,3.12,0.03,-0.03,3.14,2.64,8.36,3.01,0.04,,,,,,,,,,,,,,,,,,,
Z. Mlilo,Pierrema,MF,Glistening Paladins,No,No,B,25,1994,20.28,0.01,0.42,0.15,42.97,0.26,0.25,0.03,-0.1,25.09,0,0.09,-0.03,0.06,0.02,0.11,-0.08,0.01,36.22,41.88,86.41,698.29,154.84,14.2,15.5,91.44,15.94,17.77,89.44,5.53,6.82,79.84,-0.06,0.05,-0.07,0.42,2.71,0.21,0.09,2.34,2.9,2.09,1.35,1.3,0.21,0.47,1.61,32.34,1.06,21.71,6.13,28.18,8.27,10.74,2.88,1.93,0.31,-0.09,1.73,1.66,4.63,1.42,-0.04,,,,,,,,,,,,,,,,,,,
M. Hassan,Sobianitedrucy,MF,Glistening Paladins,No,Yes,B,27,1992,15.46,0.22,1.28,0.35,29.93,1.21,0.42,0.07,0.58,29.52,0.13,-0.02,-0.02,0.17,0.06,0.02,0.07,0.22,43.06,54.1,79.58,889.51,240.53,15.46,17.71,88.05,19.24,22.65,85.13,7.6,12.21,62.6,0.13,0.1,0.01,1,3.5,0.55,0.05,4.02,2.06,1.53,0.68,0.94,0.31,0.67,2.38,24.36,1.76,18.12,4.66,25.56,5.53,8.98,3.7,1.11,0.27,-0.06,0.96,1.21,3.35,2.11,-0.06,,,,,,,,,,,,,,,,,,,
F. Aziz,Dosqaly,MFFW,Glistening Paladins,No,Yes,B,28,1991,13.69,0.12,1.96,0.67,33.37,1.93,0.69,0.01,0.19,21.8,0.07,-0.05,0.09,0.09,0.13,0.14,0.08,0.03,27.96,41.25,67.75,539.29,176.16,12.48,14.8,83.58,10.33,13.76,75.41,4.56,10.07,44.3,0.31,0.23,-0.03,2.24,2.8,2.11,0.8,3.82,1.72,0.74,0.52,0.85,0.56,0.33,1.54,18.12,1.3,23.14,5.27,22.46,5.3,12.19,6,1.68,0.17,0.01,1.66,0.79,2.44,0.42,-0.01,,,,,,,,,,,,,,,,,,,
S. Vidal,Dosqaly,MFFW,Glistening Paladins,No,Yes,B,30,1989,13.52,0.08,1.11,0.29,33.38,1.1,0.28,0.15,0.36,17.8,-0.05,-0.01,0,0.08,0.05,0.09,-0.01,0,39.75,48.3,82.39,661.3,168.17,20.04,22.83,87.88,14.34,16.43,87.16,3.93,6.11,63.86,0.09,0.05,0.05,1.16,3.44,0.9,0.12,4.06,1.73,1.19,0.72,1.02,0.07,0.57,1.8,32.08,1.31,19.94,5.03,25.63,6.73,10.24,2.85,0.92,0.3,0.03,0.59,0.3,2.08,1.07,0.1,,,,,,,,,,,,,,,,,,,
W. Santoro,Coastpa Barleslands,DF,Golden Rustlers,No,No,B,26,1993,10.2,0.02,0.59,0.08,16.77,0.5,0.19,0,-0.02,17.91,-0.02,0,0.02,-0.03,0.07,0.1,-0.06,-0.01,48.27,59.17,81.74,794.98,283.47,23.37,26.44,88.05,20.15,23.85,85.07,3.71,6.17,59.62,0,0.07,-0.07,1.2,3.38,1.13,0.58,4.91,2.33,1.87,1.2,0.48,0.57,0.73,1.99,34.96,1.26,14.34,4.9,33.98,5.83,5.95,2.4,1.5,0.23,0.04,1.42,0.84,3.28,3.36,-0.04,,,,,,,,,,,,,,,,,,,
E. Gamal,Dosqaly,DF,Golden Rustlers,No,Yes,B,26,1992,0.07,-0.08,0.03,-0.09,,-0.02,0.01,,,,-0.09,0.02,0.07,0.08,-0.03,,0.02,0.09,4.92,4.97,100,59.99,21.94,4.03,4.04,99.92,1.03,0.95,100.03,-0.05,-0.08,,-0.07,-0.05,-0.01,-0.03,0.06,0,-0.02,-0.05,-0.07,0.08,0.04,0.05,0,0.09,-0.04,,0.03,0.09,0.08,,-0.08,-0.09,-0.06,0.07,0.09,-0.04,0,0.04,0.1,0,0.07,,,,,,,,,,,,,,,,,,,
I. Chandra,Dosqaly,DF,Golden Rustlers,No,Yes,B,22,1997,10.95,0.08,0.31,0.25,49.91,0.29,0.12,-0.09,-0.09,15.35,0.05,-0.06,0.1,0,0.09,0.03,-0.01,0.03,43.75,56.93,76.87,748.69,301.51,20.51,22.8,90.74,18.79,24.1,77.74,3.84,8.37,46.13,0.15,-0.04,0.13,0.66,2.49,0.93,0.45,4.2,3.41,1.92,1.68,1.41,0.28,1.77,4.54,40.76,2.75,13.54,3.86,28.6,5.55,6.81,1,2.85,0.45,-0.01,2.35,1.49,4.84,3.21,0.01,,,,,,,,,,,,,,,,,,,
P. Igwe,Dosqaly,DF,Golden Rustlers,No,Yes,B,33,1985,24.31,0.03,0.11,0.02,33.26,0.22,0.12,-0.03,0.01,6.62,-0.01,0,0.02,0.1,0.03,0.21,0.06,0.06,50.24,56.06,89.52,1111.9,405.26,11.11,12.07,93.11,30.45,32.56,93.44,8.21,11.13,74.72,0.08,0.04,-0.12,0.25,2.11,0.17,0.02,2.34,1.06,0.72,0.81,0.13,0.05,0.41,0.84,45.05,0.49,7.02,2.46,35.58,4.05,2.43,0.4,1.93,0.75,-0.06,1.21,0.75,1.78,5.82,0.05,,,,,,,,,,,,,,,,,,,
J. Mushabe,Lefghau,DF,Golden Rustlers,No,No,B,28,1991,24.03,0.26,0.65,0.27,41.18,0.77,0.37,0.3,0.55,8.75,0.09,0.07,0.08,0.14,0.03,0.17,0.12,0.02,54.25,61.64,87.76,1166.51,356.97,15.08,16.95,89.02,29.54,31.92,92.53,9.21,12.04,77.46,-0.02,-0.06,0.07,0.02,2.11,0.12,-0.07,1.61,1.47,0.93,1.22,0.34,0.05,0.68,1.17,57.04,0.52,6.79,2.31,33.41,4.72,1.68,0.18,1.64,0.78,0.07,0.94,1.22,2.68,6.53,0.1,,,,,,,,,,,,,,,,,,,
K. Abou,Lefghau,DF,Golden Rustlers,No,No,B,28,1991,2.2,0,0.39,-0.08,-0.08,0.5,-0.04,0.09,,22.14,-0.06,0,0.09,0.09,0.15,0.06,-0.11,-0.14,35.46,43.15,82.15,575.6,140.03,16.48,19.43,83.63,18.63,21.76,85.45,0.4,0.87,49.98,-0.02,0.05,-0.02,0.91,0.41,0.53,-0.09,1.86,2.24,1.85,1.81,0.06,0.47,1.34,2.8,50.1,1.42,21.77,4.98,22.92,8.64,9.47,3.73,0.82,-0.02,-0.07,0.92,0.42,2.75,1.75,0.03,,,,,,,,,,,,,,,,,,,
K. Oloya,Quewenia,DF,Golden Rustlers,Yes,Yes,B,27,1992,21.02,0.11,0.45,0.1,18.27,0.48,0.13,0.02,0.52,13.21,0.03,-0.03,-0.07,0.12,0.03,0.16,0.07,0.1,52.24,62.37,84.03,929,344.12,23.28,25.32,91.99,23.84,27.33,87.06,4.61,7.56,61.91,-0.03,0.05,-0.13,0.67,3.26,0.74,0.21,5.17,2.15,1.41,1.3,0.53,0.29,0.87,2.29,40.4,1.42,14.4,4.56,31.44,5.65,6.22,2.58,1.45,0.37,-0.05,1.23,0.83,2.82,3.09,0.06,,,,,,,,,,,,,,,,,,,
B. Lai,Rarita,DF,Golden Rustlers,No,No,B,30,1988,16.45,0,0.51,0.01,0.1,0.54,0.06,-0.03,,20.46,0.09,-0.01,-0.01,0.05,-0.06,-0.01,-0.04,-0.04,54.18,66.16,81.97,1143.83,383.47,15.05,16.74,89.42,30.44,34.7,87.94,8.33,13.46,62.27,0.06,0.09,0.1,0.33,2.11,0.2,0.13,2.1,1.27,0.94,1.09,0.24,0.21,0.54,1.92,27.28,1.55,5.28,2.02,39.1,3.83,1.28,0.15,1.55,0.83,0.06,0.85,0.71,2.01,4.21,-0.06,,,,,,,,,,,,,,,,,,,
L. Okoye,Rosvi,DF,Golden Rustlers,No,No,B,23,1996,6.39,0.04,-0.05,-0.09,,0.1,0.05,,,,0.09,-0.07,0.04,0.1,-0.1,,0.03,0.1,62.98,70.53,89.28,1302.76,450.49,18.25,19.14,95.16,34.23,36.37,93.92,10.36,14.29,72.52,0.17,0.08,0.09,0.7,2.74,0.23,-0.08,3.51,3.84,1.55,2.23,1.58,-0.03,1.85,3.22,60.04,1.19,10.44,3.91,37.2,6.73,3.68,0.02,1.54,0.68,0.04,0.91,1.29,5.03,3.94,0.06,,,,,,,,,,,,,,,,,,,
F. Ahebwa,Sobianitedrucy,DF,Golden Rustlers,No,Yes,B,19,2000,0.75,0.03,-0.06,-0.07,,-0.07,0.08,,,,0.01,0.09,-0.07,0.05,0.03,,-0.05,-0.03,32.83,41.31,79.26,561.45,124.2,18.68,21.44,86.65,12.86,15.63,81.77,1.37,2.79,50.04,-0.05,-0.05,0.06,0.02,0.02,-0.1,0.06,0.02,2.85,1.41,2.91,0.03,0.1,0,1.44,-0.08,1.4,15.66,4.39,27.28,5.61,5.76,4.25,0.07,0.1,-0.04,0,-0.04,2.94,2.94,-0.03,,,,,,,,,,,,,,,,,,,
K. Mpirirwe,Iverde,DFMF,Golden Rustlers,No,No,B,23,1996,7.14,0.17,0.59,0.35,39.96,0.76,0.18,0.2,0.59,17.84,0.07,0.01,0.07,0.13,0.05,0.28,-0.01,-0.03,34.18,43.04,79.32,551.29,108.72,17.05,20.01,85.4,15,17.7,85.71,1.57,3.52,42.35,0.07,0.1,-0.07,0.7,1.23,0.38,0.33,1.99,1.91,1.04,0.92,0.58,0.66,0.77,1.97,42.89,1.06,20.76,6.09,29.43,7.02,9.77,3.74,1.2,0.05,0.06,1.08,0.77,2.73,0.8,0.05,,,,,,,,,,,,,,,,,,,
A. Musonza,Dosqaly,FW,Golden Rustlers,No,Yes,B,33,1985,16.86,0.47,1.65,0.53,36.91,1.65,0.52,0.14,0.56,13.88,0.02,0.15,0.15,0.25,0.27,0.13,0,0.08,16.11,20.32,79.95,212.75,26.86,10.38,11.9,86.51,3.94,5.03,78.59,0.63,1.22,55.05,0.06,0.13,0.03,0.93,0.67,0.03,-0.07,0.57,0.53,0.34,0.23,0.07,0.08,0.17,0.95,17.61,0.78,22.74,6.29,27.82,1.95,10.02,10.8,0.72,0.22,0.02,0.42,0.3,0.79,0.8,0.08,,,,,,,,,,,,,,,,,,,
E. Cortez,Dosqaly,FW,Golden Rustlers,No,Yes,B,22,1996,6.13,0.23,1.85,0.44,25.05,1.83,0.56,0.02,0.39,16.76,-0.03,0.05,-0.02,0.29,0.19,0.18,-0.05,0.01,29.75,44.73,66.37,481.64,113.41,13.65,16.86,81.69,13.43,17.97,74.79,2.01,7.17,26.71,0.07,0.31,0.01,0.89,0.75,0.55,0.09,3.17,1.51,1.17,0.52,0.7,0.35,0.61,2.18,30.7,1.44,17.26,5.12,29.91,4.19,8.1,5.07,2.97,0.18,-0.04,2.73,0.17,1.55,1.52,0.1,,,,,,,,,,,,,,,,,,,
U. Atugonza,Republic of Denand Landsa,FW,Golden Rustlers,No,No,B,20,1998,8.15,0.67,2.13,1.47,66.69,2.29,1.44,0.36,0.46,16.15,-0.01,-0.07,0.05,0.4,0.43,0.28,0.29,0.22,21.35,25.13,85.03,276.6,44.32,14.33,15.69,91.42,4.9,6.22,80.42,0.69,1.08,66.79,0.21,0.08,0.19,0.96,0.76,0.26,0.02,1.08,0.74,0.62,-0.09,0.54,0.29,0.16,1.59,15.43,1.28,22.5,5.01,22.25,1.39,10.5,10.44,1.43,0.56,0.03,0.88,0.45,1.11,0.16,0.03,,,,,,,,,,,,,,,,,,,
F. Salonen,Republic of Denand Landsa,FWDF,Golden Rustlers,No,No,B,21,1997,15.13,0.13,2.6,0.71,27.51,2.65,0.83,0.04,0.18,20.41,0.14,-0.03,-0.08,0.14,0.13,0,-0.12,-0.01,25.68,34.72,73.95,440.55,107.66,12.78,15.66,82.65,10.05,13.07,76.71,2.28,4.7,50.07,0.13,0.16,-0.05,0.69,1.89,0.44,0.21,2.6,2.84,1.3,1.28,1.19,0.3,0.76,2.23,35.33,1.38,20.01,5.33,26.6,5.41,9.99,4.69,1.32,0.04,-0.08,1.35,1.25,4.14,0.59,0.06,,,,,,,,,,,,,,,,,,,
B. Ndlovu,Dosqaly,FWMF,Golden Rustlers,No,Yes,B,20,1999,1.91,-0.08,1.51,-0.08,-0.04,1.64,0.04,-0.03,,22.54,1,0.01,-0.09,0.2,0.22,0.09,-0.11,-0.24,43.7,55.85,78.34,694.61,204.7,25.8,29.47,87.56,13.22,18.96,69.43,4.21,5.76,72.6,0.99,0.13,0.95,2.7,3.12,2.15,0.05,4.29,3.18,2.13,-0.02,2.68,0.43,0.54,1.66,33.21,1.06,24.19,7.44,30.35,2.1,17.46,4.74,0.59,-0.04,0.01,0.61,1.66,4.77,1.56,0,,,,,,,,,,,,,,,,,,,
Y. Horváth,Landli Blicporlip,FWMF,Golden Rustlers,No,No,B,26,1992,18.16,0.37,2,0.82,41.76,1.95,0.77,0.22,0.33,17.69,-0.07,0.02,0.03,0.2,0.1,0.02,0.05,0.2,19.49,23.5,82.47,304.94,52.12,10.62,12.31,87.5,7.71,8.66,88.59,0.88,1.45,61.51,0.11,-0.02,0.02,0.43,1.21,0.58,0.19,1.26,0.52,0.44,0.03,0.27,0.06,0.16,0.81,21.32,0.64,13.66,3.19,23.54,2.66,7.34,3.78,0.81,0.13,0.09,0.84,0.23,0.69,0.2,-0.05,,,,,,,,,,,,,,,,,,,
V. Bwambale,Dosqaly,GK,Golden Rustlers,No,Yes,B,32,1987,27.99,-0.06,0,-0.05,,-0.06,0.08,,,,-0.01,0.05,-0.07,0.02,-0.02,,0.06,-0.01,22.55,31.64,71.5,723.84,466.28,3.89,3.78,100.01,9.31,9.46,98.42,9.37,18.22,51.17,0.07,0.03,0.06,-0.02,0.28,0.05,-0.06,-0.07,-0.07,-0.05,0.07,-0.1,-0.02,-0.01,0.08,-0.09,0.19,0.3,0.12,42.8,0.23,0.07,-0.04,-0.08,-0.1,0.03,0.09,-0.05,-0.06,0.07,0.05,27.91,28.08,2519.94,28.02,1.18,1.27,3.87,2.65,69.84,0.29,0.42,0.29,0.24,21.3,0.13,0.01,0.09,0.05,33.36
U. Hansen,Biarizea,MF,Golden Rustlers,No,No,B,23,1996,6.07,0.06,0.41,-0.07,0.08,0.3,-0.07,-0.01,,31.65,0.06,0.08,-0.1,0.07,0,0.07,0.05,0,59.5,68.71,86.41,1041.61,259.21,28.78,31.22,91.43,24.89,27.11,91.34,5.88,8.74,67.24,0.11,-0.08,0.2,0.65,4.72,0.45,-0.01,6.33,1.89,1.13,1.25,0.65,0.09,0.32,4.12,8.02,3.85,27.21,7.94,29.38,6.8,17.97,2.56,1.97,0.43,0.02,1.65,0.87,2.76,1.27,-0.02,,,,,,,,,,,,,,,,,,,
C. Langa,Dosqaly,MF,Golden Rustlers,Yes,Yes,B,19,2000,12.21,0.04,0.98,0.39,41.68,0.88,0.4,-0.07,-0.08,21.17,0,-0.02,-0.06,0.11,-0.02,0.13,-0.05,-0.07,48.06,55.88,86.05,906.97,268.99,17.84,20.4,86.95,25.48,27.74,91.49,4.54,6.37,70.45,0.1,-0.06,-0.03,0.26,3.49,0.12,-0.09,5.79,1.73,1.49,0.82,0.6,0.3,0.28,1.58,21.06,1.2,18.05,6.13,34.36,6.04,9.92,1.95,1.61,0.45,0.09,1.18,1.62,3.37,1.22,0,,,,,,,,,,,,,,,,,,,
L. Kond?,Dosqaly,MF,Golden Rustlers,No,Yes,B,17,2001,0.53,0,0.05,0.02,,-0.05,0.07,,,,0.09,0.07,-0.05,-0.05,0.09,,0.03,0.08,33.99,35.94,94.33,730.03,453.96,9.99,11.93,83.37,17.98,18.01,100.02,6.06,5.92,99.91,-0.04,-0.07,0.03,0.07,4.05,0.04,0.04,8.03,5.93,5.96,6.04,0.03,-0.01,2.04,6.06,33.29,4.05,41.99,11.98,28.56,10.1,29.99,2.05,0.07,-0.01,0.06,-0.03,5.95,12.04,4.08,0.04,,,,,,,,,,,,,,,,,,,
W. Noguchi,Lefghau,MF,Golden Rustlers,No,No,B,25,1994,24.53,-0.02,0.79,0.19,31.77,0.97,0.35,0.17,0.32,26.67,-0.03,-0.09,-0.03,0.12,-0.01,0.09,-0.02,0.06,55.19,60.94,90.54,1039.82,201.08,22.41,23.43,95.32,25.84,27.76,92.72,6.51,8.68,75.67,0.09,-0.01,0.06,0.2,3.23,0.22,-0.05,2.64,3.41,2.26,1.12,2.19,0.02,1.09,3.36,33.27,2.27,27.58,8.8,32.16,9.07,16.5,1.95,1.89,0.23,-0.04,1.56,0.95,4.54,2.04,0.02,,,,,,,,,,,,,,,,,,,
M. Muwanga,Manlisgamncent,MF,Golden Rustlers,Yes,Yes,B,22,1996,10.92,0.02,1.63,0.3,23.48,1.63,0.36,0.01,0.34,26.49,0.41,-0.05,0.05,0.13,0.17,0.1,0,-0.06,41.42,52.79,78.55,859.78,205.37,13.43,15.51,85.47,20.75,23.61,87.48,7.09,12.08,58.57,0.25,0.35,-0.01,2.16,5.26,0.61,0.04,4.06,3.02,2.01,1.63,1.38,0.11,1.33,3.19,41.2,1.86,24.86,7.35,29.62,6.88,14.1,4.08,1.44,0.22,0.03,1.09,0.83,3.81,1.66,0.1,,,,,,,,,,,,,,,,,,,
M. Anderson,Nganion,MF,Golden Rustlers,No,Yes,B,26,1992,2.05,0.56,0.98,0.96,99.92,0.9,1.04,0.59,0.52,19.05,-0.05,-0.04,-0.03,0.01,0.11,0.19,0.42,0.29,44.78,53.35,83.93,872.47,223.39,15.67,16.19,97.02,22.83,26.23,87.2,5.28,9.94,52.35,-0.03,0.07,0.02,0.95,5.76,0.42,-0.09,3.72,1.4,1.47,0.99,0.39,0,1,1.87,50.08,0.88,14.88,2.9,19.45,2.82,6.65,5.33,0.56,0.09,-0.06,0.56,0.51,1.85,1.95,0.07,,,,,,,,,,,,,,,,,,,
C. Shaheen,Dosqaly,MFFW,Golden Rustlers,No,Yes,B,19,2000,11.25,0.3,1.6,0.61,33.28,1.67,0.55,0.13,0.45,23.14,0.03,0.05,-0.07,0.04,0.15,0,0.22,0.23,40.78,51.43,79.27,745.01,173.8,19.09,22.07,86.38,15.76,19.09,82.73,5.13,8.72,59.57,0.22,0.27,0.16,1.55,4.49,0.65,-0.04,4.91,2.47,1.51,0.48,1.26,0.55,0.87,2.66,32.21,1.77,29.01,7.68,26.16,6.3,14.62,7.98,0.94,0.02,-0.02,0.93,0.86,3.19,0.36,0.02,,,,,,,,,,,,,,,,,,,
T. Karmakar,Dosqaly,MFFW,Golden Rustlers,No,Yes,B,28,1991,22.17,0.18,2.02,0.88,43.14,1.97,0.95,0.06,0.3,21.37,0.56,0.05,0.09,0.3,0.2,0.09,0.02,-0.02,31.21,43.34,71.97,579.94,129.47,14.18,16.96,84.08,12.5,15.44,81.24,4.05,9.17,44.52,0.09,0.14,-0.08,2.09,2.42,0.86,0.14,2.48,1.69,1.08,0.48,0.96,0.3,0.4,1.87,23.86,1.36,19.4,4.93,25.81,1.56,11.03,6.9,0.89,0.16,0.01,0.76,0.34,1.96,1.02,0.08,,,,,,,,,,,,,,,,,,,
S. Namanya,Central Diasongo,DF,Grotesque Rocks,No,No,B,30,1989,16.36,0.13,0.49,0.03,25.09,0.59,0.11,0.07,0.42,9.74,0.08,-0.07,-0.02,-0.05,0.11,0.13,-0.01,0.03,36.78,44.89,81.87,844.32,263.24,9.89,11.58,84.79,18.11,20.14,90.06,8.66,12.16,70.83,0.07,-0.08,-0.09,0.29,2.54,0.35,0.22,3,1.9,1.22,1.26,0.62,0.09,0.66,1.33,52.4,0.66,9.41,2.81,29.4,5.79,3.36,0.42,1.37,0.48,-0.08,0.81,1.13,3.18,3.34,0.15,,,,,,,,,,,,,,,,,,,
J. Suissa,Coastpa Barleslands,DF,Grotesque Rocks,No,No,B,25,1993,4.09,0.05,0.02,0,,0.03,-0.03,,,,0.04,0.01,0.09,0,-0.09,,0.03,0.1,37.58,50.91,73.72,754.34,358.38,16.07,18.97,84.52,14.14,18.34,77.33,6.79,11.76,58.33,-0.07,0,-0.03,1.41,1.12,2.44,2.18,2.91,1.45,0.99,0.54,0.72,0.3,0.22,2,12.44,1.74,14.04,3.23,22.49,7.15,5.62,1.48,2.03,0.29,0.06,1.76,1.07,2.48,2.2,0.03,,,,,,,,,,,,,,,,,,,
E. Fujii,Dosqaly,DF,Grotesque Rocks,No,Yes,B,19,2000,16.75,0,0.63,0.21,30.03,0.67,0.11,-0.02,0.01,14.96,-0.09,0.01,0.05,-0.07,0,0.06,-0.01,-0.06,41.39,51.47,80.01,896.65,315.3,13.36,15.86,83.89,19.52,22.65,86.22,8.14,11.9,68.34,0.05,0.09,-0.05,0.66,3.57,0.71,0.36,4.44,3.57,1.66,2.1,1.18,0.14,1.12,2.19,52.76,0.98,16.8,5.67,33.14,9.48,6.28,1.29,1.79,0.27,0.05,1.44,1.45,4.98,3.37,0.03,,,,,,,,,,,,,,,,,,,
G. Namanya,Dosqaly,DF,Grotesque Rocks,No,Yes,B,28,1991,14.2,0.08,0.39,0.01,0.08,0.26,-0.03,0.02,,26.17,0.06,0.01,0.09,0.1,0.03,0.03,-0.03,-0.02,44.26,56.46,78.18,905.45,393.78,15.97,18.3,87.36,19.94,23.78,84.19,7.59,12.36,61.5,-0.04,-0.02,-0.09,1.02,3.55,1.31,0.49,5.95,1.49,0.62,1.12,0.28,-0.02,0.79,1.32,52.55,0.66,9.91,2.76,28.51,5.24,3.24,1.41,1.18,0.07,0.02,1,0.95,2.43,2.37,0.1,,,,,,,,,,,,,,,,,,,
H. Kaweesi,Dosqaly,DF,Grotesque Rocks,No,Yes,B,27,1991,22.78,0.04,0.7,0.29,31.28,0.67,0.32,0.01,0.03,23.86,0.23,0.09,0.12,0.23,0.15,0.09,0.03,-0.1,44.44,59.41,74.9,1035.71,366.86,13.39,15.96,84.14,19.26,22.86,83.8,11.5,18.57,62.28,-0.05,0.06,0.03,1.23,3.98,1.5,0.55,5.39,1.77,1.13,0.9,0.76,0.12,0.65,1.33,57.19,0.46,15.6,4.84,30.61,7.66,6.22,1.6,1.14,0.19,-0.06,0.96,0.74,2.6,2.65,0.09,,,,,,,,,,,,,,,,,,,
