Player,Nation,,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1.3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Top5
W. Montanari,Esia,1,DF,Punctual Archers,No,Yes,C,24,1995,33.94,0.17,0.76,0.27,25.03,0.73,0.25,0.25,0.73,11.79,0.06,-0.02,0.09,0.05,0.09,0.09,0.07,0.05,42.94,53.11,80.82,972.13,352.64,12.11,13.58,89.08,20.92,23.1,90.6,9.45,15.11,62.77,0.06,0.07,0.11,0.41,3.51,0.45,0.1,3.7,1.78,1.07,1.06,0.71,-0.01,0.65,1.24,48.88,0.66,11.33,4.42,39.98,5.97,4.34,1.01,1.94,0.7,0.08,1.38,1.37,3.01,3.99,0.05, , , , , , , , , , , , , , , , , , , ,No
X. Mkandawire,Esia,1,DF,Punctual Archers,No,Yes,C,20,1999,14.38,0.07,1.55,0.54,34.86,1.61,0.55,0.01,0.04,11.94,0.03,0.02,0.03,0.01,0.12,0.12,0.06,0,45.74,56.16,81.55,985.83,325.15,14.59,15.3,94.51,22.84,25.08,91.34,8.22,14.25,57.05,0.07,-0.06,-0.05,-0.01,4.28,0.1,-0.01,4.41,2.28,1.47,0.99,1.05,0.18,0.84,1.48,52.35,0.67,12.62,4.49,35.02,5.89,5.99,0.66,1.55,0.34,-0.08,1.02,2.58,4.98,4.55,0, , , , , , , , , , , , , , , , , , , ,No
Y. Alzahrani,Esia,1,DF,Punctual Archers,No,Yes,C,28,1991,4.71,-0.08,0.83,-0.01,0.06,0.85,-0.09,-0.02,,27.74,-0.1,0.06,-0.05,0.11,-0.01,-0.08,-0.1,-0.03,33.17,51.76,64.01,631.32,274.85,15.04,18.53,80.86,12.95,19.71,65.21,5.3,11.42,45.56,-0.1,0.08,-0.1,0.72,3.8,0.8,-0.04,5.18,3.74,1.83,2.77,0.56,0.39,1.16,1.76,74.93,0.42,16.26,4.12,25.58,7.4,5.06,3.71,1.84,0.41,-0.04,1.52,1.7,5.4,3.65,0.22, , , , , , , , , , , , , , , , , , , ,No
K. Yousef,Esia,1,FW,Punctual Archers,No,Yes,C,19,2001,0.37,-0.08,-0.07,0.07,,-0.05,-0.09,,,,-0.04,-0.01,-0.07,-0.02,-0.07,,0.08,0.06,27.49,32.49,84.58,367.46,105.03,17.46,17.46,100.07,10,10.02,99.95,0.04,2.56,-0.08,0.05,-0.04,-0.08,0.03,2.46,0.08,-0.07,0.01,2.49,2.6,-0.09,2.41,0.02,-0.09,-0.04,,-0.09,17.58,2.43,14.21,-0.08,17.46,0.1,-0.02,0.1,-0.08,-0.07,0.03,2.41,-0.02,0.01, , , , , , , , , , , , , , , , , , , ,No
P. Anderson,Esia,1,FW,Punctual Archers,No,Yes,C,24,1996,0.18,-0.03,19.91,0.1,0.07,36.08,0.07,0.06,,12.08,0,-0.06,-0.06,1.05,1.03,-0.02,-1.01,-1.01,20.08,30,66.63,189.98,-0.01,19.94,19.99,100.06,-0.08,10.1,0.03,0.1,-0.05,,-0.09,0.06,-0.08,0.09,-0.08,-0.02,0.02,-0.01,0.09,-0.01,0.06,-0.09,-0.01,0.07,0.08,,-0.1,-0.02,0.08,,0,0.03,-0.08,-0.06,0.01,0.02,0.01,0.06,-0.05,-0.07,0, , , , , , , , , , , , , , , , , , , ,No
K. Ssenyondo,Esia,1,FWMF,Punctual Archers,No,Yes,C,28,1992,1.57,-0.01,1.32,1.15,99.9,1.19,1.33,0.09,0.08,21.12,-0.03,-0.09,0.1,0.16,0,0.16,-0.06,-0.12,28.82,35.57,80.79,510.03,163.75,14.47,16.28,88.54,10.58,13.15,81.08,3.11,4.37,71.47,0.66,0.22,0.36,1.27,1.83,0.6,0.03,4.43,1.34,0.66,-0.1,1.22,0.07,-0.1,0.63,0.09,0.7,12.52,1.94,14.99,0.7,9.45,2.54,0.57,-0.06,-0.03,0.56,-0.02,1.26,0.7,-0.03, , , , , , , , , , , , , , , , , , , ,No
O. Kayongo,Esia,1,FWMF,Punctual Archers,No,Yes,C,32,1988,18.15,0.55,1.19,0.64,52.14,1.3,0.64,0.22,0.47,19.7,-0.03,0.36,0.25,0.36,0.05,0.18,0.33,0.22,31.26,41.31,75.47,641.44,128.76,11.6,14.49,81.3,12.71,15.35,82.46,6.05,8.99,67.16,0.29,0.34,0.08,2.14,2.51,1.23,0.36,3.79,0.41,0.25,0.26,0.24,0.02,0.01,0.66,15.3,0.63,10.51,3.46,32.54,1.09,5.77,3.72,0.89,0,0.08,0.86,0.36,0.71,0.45,-0.1, , , , , , , , , , , , , , , , , , , ,No
E. Rashidi,Landli Blicporlip,,MFFW,Unethical Comets,No,No,B,28,1992,3.49,0.01,1.74,0.04,-0.05,1.67,0.03,0.09,,16.44,0.08,0.09,0.01,0.22,0.24,0.17,-0.06,-0.17,22.8,31.11,73.47,371.14,93.64,11.31,13.97,81.53,8.6,10.58,81.04,1.72,3.06,54.52,0.04,0.04,-0.14,0.88,1.9,0.23,0.29,2.03,-0.09,-0.06,0,-0.04,0.07,-0.02,1.75,0.04,1.81,13.12,3.36,26.14,1.9,8.56,2.62,0.52,-0.05,-0.08,0.64,1.62,1.7,0.27,-0.01, , , , , , , , , , , , , , , , , , , ,No
H. Isa,Central Diasongo,,DF,Villainous Eagles,No,No,B,33,1986,33.34,0.11,0.38,0.09,41.78,0.37,0.17,0.25,0.54,9.3,-0.05,-0.1,-0.01,0.13,-0.04,0.21,0.03,0.1,43.71,51.04,85.86,925.11,351.34,12.43,13.2,93.12,24.31,26.22,92.73,6.66,10.65,63.1,0.1,-0.03,0.03,0.17,2.25,0.13,0.03,2.08,1.39,0.91,0.99,0.5,0.06,0.45,1.12,48.63,0.56,9.34,3.3,35.64,6.33,2.68,0.56,1.37,0.54,0.05,0.78,1.17,2.7,4.51,0.07, , , , , , , , , , , , , , , , , , , ,No
K. Weiß,Central Diasongo,,DF,Villainous Eagles,No,No,B,23,1996,24.66,-0.07,0.26,0.15,28.55,0.19,0.12,0.02,0.01,21.31,-0.01,0.01,-0.05,0.06,0.04,-0.02,-0.09,-0.04,41.79,51.11,81.75,678.75,244.02,22.33,24.72,90.78,16.16,18.8,85.79,2.87,6.33,45.19,-0.04,0.1,-0.17,0.72,1.83,0.86,0.22,3.08,2.32,1.4,1.33,0.77,0.2,0.61,1.51,43.1,0.77,10.76,3.45,31.72,4.67,4.16,2.01,1.88,0.28,0.07,1.62,1.69,3.89,2.42,0.08, , , , , , , , , , , , , , , , , , , ,No
Y. Bano,Central Diasongo,,DF,Villainous Eagles,No,No,B,30,1990,15.03,0.1,0.12,-0.02,100.07,0.06,0.16,0.03,0.09,15.58,-0.01,0.08,0.06,-0.02,0.08,-0.03,-0.08,0.09,44.62,58.33,76.51,759.83,365.02,22.74,25.18,91.04,17.57,22.44,78.61,3.74,8.63,43.38,0.08,0.19,0.01,0.82,2.73,0.93,0.55,3.56,2.01,1.17,1.3,0.52,0.16,0.74,1.33,50.03,0.62,11.46,4.03,35.17,6.3,3.37,1.58,1.63,0.06,-0.04,1.62,1.13,3.2,2.77,0.11, , , , , , , , , , , , , , , , , , , ,No
Q. Patil,Esia,1,FWMF,Punctual Archers,No,Yes,C,27,1993,10.87,0,1.75,0.71,36.8,1.85,0.68,0.03,0.09,17.08,0.09,-0.04,0.08,0.15,0.13,0.09,-0.06,-0.07,18.36,29.36,61.94,329.93,87.59,8.24,11.49,71.75,7.41,10.63,68.91,2.13,4.16,52.27,-0.02,0.17,-0.01,0.95,1.1,1.13,0.71,1.32,1.5,0.9,0.72,0.56,0.29,0.14,1.61,11.04,1.44,17.36,4.66,27.07,4.99,8.43,3.94,1.69,0.14,0.09,1.6,0.61,2.13,1.16,0.09, , , , , , , , , , , , , , , , , , , ,No
Z. Namatovu,Esia,1,FWMF,Punctual Archers,No,Yes,C,23,1997,8.39,0.43,2.78,1.2,43.54,2.76,1.11,0.09,0.36,16.39,0.1,-0.08,0.08,0.38,0.45,0.1,0.03,0.04,17.69,24.44,72.67,294.24,93.06,9.29,12.38,75.6,5.54,6.84,80.66,2.08,3.54,58.68,0.06,0.11,-0.03,0.91,1.79,0.61,-0.04,2.34,1.1,0.91,0.12,0.91,0.15,0.31,1.94,11.85,1.73,20.96,6.08,29.01,2.89,11.43,6.35,1.7,0.01,0.09,1.62,1.33,2.51,0.63,0.03, , , , , , , , , , , , , , , , , , , ,No
B. Fernandez,Esia,1,GK,Punctual Archers,No,Yes,C,33,1987,30.87,-0.01,0.02,-0.07,,-0.07,-0.05,,,,-0.03,0.08,0.09,-0.02,0.07,,-0.09,-0.09,26.48,36.92,71.54,812.14,520.4,4.53,4.74,98.52,11.83,11.98,97.76,9.93,20.28,49.83,-0.02,-0.03,-0.05,-0.09,0.32,0,0.08,0.03,0.07,-0.01,-0.08,0.03,-0.03,0.01,0.1,-0.1,0.11,0.19,0.07,40.03,0.17,0.03,0.03,0.04,0.07,0.01,0.01,-0.06,-0.05,0,0.07,30.99,31.05,2767.97,30.75,1.41,1.39,3.94,2.74,69.04,0.3,0.44,0.27,0.25,16.04,0.22,0.1,-0.03,-0.01,19.92,No
W. Mandizvidza,Esia,1,GK,Punctual Archers,No,Yes,C,27,1993,3.24,0.03,0.07,0.06,,0.07,0.04,,,,-0.04,0.05,0,-0.06,-0.07,,0.03,0.05,18.16,29.67,61.09,661.93,493.35,2.26,2.2,100.03,6.34,6.33,100.04,9.62,21.27,45.59,0,-0.01,-0.07,0.01,1.27,0.09,0.04,-0.02,0.1,0.1,0.07,-0.04,-0.08,0.05,-0.05,,0.05,0.04,-0.03,,0.07,0.02,-0.04,0.03,0,-0.03,0.02,-0.06,-0.07,-0.06,-0.02,3.95,3.09,292.06,3.23,0.23,0.33,1.49,1.54,80.02,0.4,0.64,0.09,0.69,66.73,-0.01,-0.04,-0.09,-0.09,,No
U. bin Salleh,Unicorporated Tiagascar,,DF,Villainous Eagles,No,No,B,30,1990,12.32,-0.07,0.41,-0.01,-0.07,0.35,0.02,0.07,,8.49,-0.09,-0.03,-0.09,0.1,0.12,0.11,-0.11,0.08,37.72,42.1,89.53,764.54,251.58,13.5,13.88,97.06,17.87,19.16,92.71,6.11,8.5,72.46,-0.01,0.1,0.11,-0.02,1.41,0.02,0.08,1.62,0.89,0.36,0.7,0.17,0.08,0.15,1.29,17.61,1.07,8.52,2.69,31.36,4.8,3.25,0.38,1.48,1.07,0.05,0.38,1.55,2.36,5.18,-0.06, , , , , , , , , , , , , , , , , , , ,No
E. Kinoshita,Biarizea,,FW,Villainous Eagles,No,No,B,28,1992,0.16,-0.1,0.02,0.04,,-0.02,-0.1,,,,0.08,0.04,0.02,-0.01,0.07,,0,0.06,25,29.97,83.38,294.91,60.04,19.96,20.02,100.07,4.93,4.94,100.09,0.04,-0.01,,-0.01,-0.05,-0.01,-0.02,5,0.09,-0.09,-0.1,-0.01,-0.02,0.06,-0.05,-0.01,0.08,-0.06,,-0.08,5.01,0.01,-0.05,-0.01,5.08,0.05,5.09,0,-0.02,5.08,-0.04,0.09,-0.04,0.02, , , , , , , , , , , , , , , , , , , ,No
E. Ajwang,Central Namemo Laand,,FW,Villainous Eagles,No,No,B,28,1992,18.03,0.39,3.26,1.19,40.39,3.18,1.34,0.06,0.25,16.64,0.01,-0.01,0.01,0.36,0.46,0.08,-0.09,-0.12,13.82,19.32,71.24,202.4,33.91,7.89,10.6,75.27,4.18,5.35,77.69,0.98,1.45,72.1,0.07,0.06,0.12,0.78,0.71,0.41,0.02,0.88,1.07,0.72,0.1,0.66,0.25,0.37,0.58,45.46,0.39,15.69,4.11,26.22,1.11,6.81,7.65,0.74,0.08,-0.07,0.75,0.53,1.66,0.65,0.09, , , , , , , , , , , , , , , , , , , ,No
A. Popovi?,Esia,1,MF,Punctual Archers,No,Yes,C,25,1994,28.17,0.16,1.51,0.37,22.53,1.38,0.3,0.11,0.64,22.26,0.22,0.05,0.03,0.08,0.11,0.12,0.15,0.18,41.07,52.01,79.01,773.75,217.73,17.46,20.56,85.15,17.42,21.2,82.24,5.43,8.48,64.54,0.11,0.11,0,0.94,4.05,0.55,0.11,4.54,2.2,1.43,1.12,0.94,0.13,0.53,1.53,37.2,1.01,18.75,5.92,31.04,6.1,10.35,2.2,1.37,0.33,0.03,1.2,2.02,4.24,1.05,0.05, , , , , , , , , , , , , , , , , , , ,No
K. Anek,Esia,1,MF,Punctual Archers,No,Yes,C,29,1990,9.86,0.02,0.37,0.01,24.93,0.38,0.09,-0.03,-0.08,14.72,-0.07,-0.03,0.03,0.02,-0.03,0.13,-0.1,-0.08,17.31,23.4,74.14,297.14,76.77,8.1,9.59,85.22,7.06,9.14,75.82,1.46,3.16,48.5,0.05,0.1,0.09,0.06,1.15,0.39,0.12,1.92,2.48,1.32,1.2,1.09,0.22,0.73,2.54,28.05,1.74,19.58,5.48,28.41,6.69,9.42,3.23,1.67,0.22,0.07,1.24,0.56,3.06,1.08,-0.02, , , , , , , , , , , , , , , , , , , ,No
U. Kumakech,Esia,1,MF,Punctual Archers,No,Yes,C,19,2001,0.2,-0.01,0.04,-0.01,,0.07,-0.09,,,,-0.04,0.04,-0.02,-0.02,0.05,,-0.03,0.06,20.01,30.07,66.66,409.94,19.96,9.99,9.92,100.08,10,9.92,100.1,-0.02,0.01,,0.05,-0.08,-0.01,-0.09,0,-0.09,0.01,0.02,-0.03,-0.08,0.01,0.06,0.04,0.03,-0.05,,0.05,0.07,0.08,,-0.09,0.05,-0.09,0.04,-0.07,0.01,-0.04,0,-0.1,0,-0.07, , , , , , , , , , , , , , , , , , , ,No
O. Musiimenta,Ucame Ofne,,FW,Villainous Eagles,No,No,B,27,1993,0.34,0.06,0.01,-0.08,,-0.1,0.04,,,,-0.01,-0.02,0,0.04,0.08,,0.06,-0.05,23.32,30.08,77.78,499.99,190.01,13.24,16.73,79.97,6.77,6.72,100.03,3.39,3.42,100.02,-0.05,-0.1,0.02,-0.09,3.33,6.68,-0.01,9.98,3.27,3.27,3.34,0.01,-0.06,-0.04,0.08,,0.08,33.28,10,30.01,0.03,19.94,13.27,0.04,0.04,-0.08,0.02,-0.07,3.42,3.42,0.02, , , , , , , , , , , , , , , , , , , ,No
X. Nabaggala,Biarizea,,FWMF,Villainous Eagles,No,No,B,26,1993,8.09,0.1,1.76,0.69,35.77,1.64,0.62,0.07,0.14,15.99,0.27,-0.03,-0.09,0.15,0.16,0.16,-0.03,-0.13,25.54,35.12,72.64,420.64,98.24,13.04,15.83,82.09,9.9,12.15,81.77,2.16,4.89,43.7,-0.08,0.06,0.02,0.61,2.27,1.05,0.13,2.44,2.18,1.53,1.31,0.71,0.3,1.28,3.06,39.94,1.8,17.89,5.2,29.16,6.96,7.7,3,1.84,0.13,0.04,1.69,0.69,2.71,0.08,0.1, , , , , , , , , , , , , , , , , , , ,No
Z. Ogawa,Coastpa Barleslands,,FWMF,Villainous Eagles,No,No,B,25,1995,13.96,0.01,1.73,0.47,26.14,1.65,0.45,0.11,0.15,18,-0.09,-0.07,-0.04,0.14,0.18,0.02,0.03,-0.01,36.07,43.18,83.3,572.29,152.06,20.7,23.49,88.11,11.35,12.49,90.73,3.36,4.59,71.81,-0.03,0.09,-0.01,1.51,2.3,1.46,0.25,3.9,1.67,1.28,0.52,0.43,0.48,0.48,1.94,30.8,1.23,21.3,6.57,30.89,5.72,8.75,6.79,1.37,0.01,-0.01,1.23,0.55,2.12,0.4,-0.04, , , , , , , , , , , , , , , , , , , ,No
V. Cherop,Esia,1,MF,Punctual Archers,No,Yes,C,34,1985,11.4,-0.06,0.56,-0.06,-0.06,0.51,-0.07,0.04,,18.82,-0.02,0.01,-0.07,0,0.13,0.14,-0.05,0.03,32.46,41.05,78.84,565.83,158.38,15.64,17.86,88.37,11.81,14.77,80.56,3.84,6.29,61.59,-0.05,0.09,-0.07,0.64,3.31,0.71,0.11,4.14,1.8,0.96,1.04,0.31,0.63,0.58,1.69,30.05,1.22,18.57,6.38,34.63,4.75,8.18,5.54,1.64,0.31,-0.08,1.35,1.09,2.9,2.22,0.09, , , , , , , , , , , , , , , , , , , ,No
X. Wasswa,Esia,1,MF,Punctual Archers,No,Yes,C,25,1995,20.25,0.2,1,0.31,25.07,1.08,0.26,0.09,0.58,13.89,0.08,-0.08,0.05,0.04,0.02,0,0.04,0.14,28.64,36.88,77.6,526.32,102.96,11.38,14.14,80.75,12.84,15.47,83.36,3.31,4.72,69.12,-0.04,0.07,0.07,0.35,1.96,0.12,-0.02,2.45,1.97,1.33,0.74,1.07,0.18,0.56,1.47,38.78,0.86,15.31,5.29,33.62,3.69,9.52,2.3,1.58,0.1,0.02,1.5,1.56,3.41,1.19,0.07, , , , , , , , , , , , , , , , , , , ,No
I. Tarigan,Esia,1,DF,Red Artichokes,No,Yes,C,22,1998,29.72,0.03,0.47,0.13,35.78,0.5,0.16,0.04,0.29,14.91,0.05,-0.03,0.03,0.05,0.02,0.08,-0.09,0.05,42.05,50.06,83.7,1045.5,273.47,7.7,9.03,84.93,22.49,24.3,92.04,11.72,16.16,71.88,0.12,0.05,-0.02,0.26,2.1,0.57,-0.02,2.6,2.17,1.47,1.57,0.62,0.11,0.79,1.45,53.36,0.77,10.93,4.56,42.28,6.63,4.04,0.36,2.5,1.43,-0.03,0.96,1.3,3.43,7.47,0.22, , , , , , , , , , , , , , , , , , , ,No
X. Sulaiman,Esia,1,DF,Red Artichokes,No,Yes,C,28,1991,0.94,0.05,2.3,0.03,0,2.27,0.08,0.08,,28.29,-0.01,0.08,0.03,0.08,-0.03,0.03,0.08,-0.09,45.53,62.28,73.26,1045.54,344.33,15.56,18.82,82.46,20,27.71,72.02,10.06,14.46,69.16,0.08,0.08,0.06,0.1,4.49,0.09,0,5.48,2.15,1.12,0.05,2.19,0.07,-0.03,1.13,-0.07,1.14,14.45,3.24,23.1,5.5,8.95,-0.1,-0.07,0.1,-0.03,-0.05,-0.04,2.22,1.14,-0.03, , , , , , , , , , , , , , , , , , , ,No
Q. Yamazaki,Pierrema,,FWMF,Villainous Eagles,No,No,B,23,1997,4.51,-0.03,2.9,1.18,38.42,2.91,1.05,0.01,0.08,18.29,0.01,0.08,0,0.34,0.37,0.19,-0.4,-0.27,24.16,31.93,75.55,383.51,129.61,14.34,17.07,84.58,6.82,9.69,68.84,2.26,2.96,71.44,0.06,0.08,0.07,0.36,1.34,0.92,0.09,2.22,1.92,0.83,1.04,0.63,0.22,0.46,2.32,18.21,1.87,18.88,5.37,28.67,4.99,7.98,5.79,2.76,0.08,0.03,2.77,1.61,3.46,0.4,0.18, , , , , , , , , , , , , , , , , , , ,No
H. Boadu,Esia,1,FW,Red Artichokes,No,Yes,C,32,1987,30.07,0.14,1.72,0.58,36.45,1.77,0.56,0.02,0.16,13.84,-0.01,-0.05,0.07,0.31,0.18,0.08,-0.05,-0.1,14.93,26.45,56.5,247.08,64.5,7.89,12.37,63.64,5.25,9.56,54.55,1.39,2.7,51.8,0.17,0.06,-0.06,0.85,1.57,0.46,0.17,2.67,0.91,0.57,0.4,0.46,0.29,0.19,1.14,20.51,0.99,16.98,4.76,27.86,1.82,8.65,6.46,0.73,0.3,0.12,0.55,0.37,1.24,0.95,0.09, , , , , , , , , , , , , , , , , , , ,No
J. Mazur,Esia,1,FWMF,Red Artichokes,No,Yes,C,31,1988,8.29,0.21,1.72,0.57,35.8,1.6,0.58,-0.01,0.24,16.53,0.02,0.01,0.04,0.14,0.1,0.06,0.03,-0.08,11.91,21.94,54.96,175.83,42.55,7.06,10.73,64.36,3.97,6.47,61.14,0.51,1.79,33.38,0.02,0.19,-0.02,1.29,1.25,-0.02,-0.01,1.19,1.36,1.04,0.2,0.8,0.55,0.29,3.44,6.99,3.27,40.18,9.32,23.33,5.38,21.3,13.43,1.54,0.42,0.02,1.11,0.31,1.81,1.58,-0.05, , , , , , , , , , , , , , , , , , , ,No
M. Neo,Esia,1,FWMF,Red Artichokes,No,Yes,C,28,1992,11.17,0.24,3.02,1.11,36.44,3,1.07,0.13,0.16,15.31,0.31,-0.03,0.02,0.35,0.35,0.1,-0.17,-0.14,14.01,24.24,58.39,225.62,62.9,8.19,12.62,64.35,4.3,7.47,57.17,1.14,2.53,44.81,0.17,0.25,0.08,0.72,0.82,0.95,0.08,2.19,1.04,0.73,0.55,0.17,0.18,0.2,1.78,15.82,1.35,16.7,4.62,27.33,2.26,8.8,5.51,1.33,0.09,0.02,1.17,0.38,1.38,0.94,-0.01, , , , , , , , , , , , , , , , , , , ,No
K. Tsui,Esia,1,GK,Red Artichokes,No,Yes,C,27,1992,33.93,0.09,-0.03,-0.03,,0.09,-0.06,,,,-0.1,-0.09,-0.06,0.08,0.02,,-0.08,-0.01,40.88,57.81,70.52,1487.67,954.42,3.48,3.53,96.64,17.74,18.17,98.12,19.53,36.19,54.27,-0.07,0.09,0.11,0.09,2.98,0.33,0.06,0.09,-0.06,0.07,0.11,0.02,-0.06,-0.01,0.2,20.07,0.11,0.14,0.05,25.06,0.09,-0.04,0.05,-0.07,-0.08,-0.08,0.09,0.06,-0.03,0.07,0.01,33.98,34.06,3060.09,34.08,1.57,1.49,4.9,3.43,71.7,0.32,0.17,0.43,0.31,32.46,0.11,0.22,0.02,-0.03,16.77,No
G. Kaya,Esia,1,MF,Red Artichokes,No,Yes,C,21,1999,11.59,0,1.04,0.24,18.16,0.94,0.16,0.07,-0.1,19.84,0.22,-0.03,-0.01,-0.01,-0.06,0.09,-0.09,-0.1,26.54,36.45,72.96,542.32,118.65,9.93,12.09,81.97,11.18,14.34,78.79,5.22,8.65,60.67,0.06,0.08,-0.07,1.14,1.76,0.91,0.07,2.52,1.71,1.24,0.38,0.99,0.25,0.68,1.47,43.74,0.69,15.99,4.94,30.33,4.37,8.42,3.11,1.61,0.34,-0.09,1.48,0.82,2.4,1.3,0.02, , , , , , , , , , , , , , , , , , , ,No
K. Walugembe,Esia,1,MF,Red Artichokes,No,Yes,C,24,1996,18.75,-0.05,1.1,0.28,28.69,1.04,0.34,-0.07,0.07,22.63,0.16,0.07,-0.08,0.14,0.01,0.04,-0.12,-0.02,31.46,42.29,74.61,581.32,144.27,14.52,16.24,88.9,12.54,15.23,81.49,4.1,8.28,48.05,-0.08,0.02,-0.06,0.66,2.37,0.86,0.41,2.97,1.87,1.15,0.88,0.8,0.26,0.61,1.9,32.38,1.37,17.83,5.32,29.44,4.72,9.3,3.86,1.48,0.31,-0.09,1.29,0.81,2.71,0.7,-0.06, , , , , , , , , , , , , , , , , , , ,No
T. Ayoo,Esia,1,MF,Red Artichokes,No,Yes,C,22,1998,14.03,0.03,0.44,0.15,14.34,0.45,0.11,0.07,0.04,18.27,-0.04,0.08,0,0.1,0.07,0.17,-0.12,-0.1,31.55,40.07,78.45,577.38,134.61,12.82,15.77,81.46,14.87,17.23,86.12,3.25,5.73,58.09,-0.05,0.04,-0.04,0.33,2.93,0.18,-0.04,3.45,3.17,1.85,1.47,1.48,0.14,0.94,3.02,32.52,2,21.82,5.23,23.8,7.89,11.55,2.25,2.33,0.11,0.1,2.18,0.98,4.11,2.22,0.05, , , , , , , , , , , , , , , , , , , ,No
U. Kajumba,Esia,1,MFDF,Red Artichokes,No,Yes,C,19,2001,-0.02,0.09,-0.09,0.07,,-0.04,0.02,,,,-0.05,0.04,-0.04,-0.07,0,,0.03,-0.07,0.07,0.95,0.09,0.05,0.02,-0.1,0.01,,-0.02,0.92,-0.03,0.05,0.09,,-0.06,-0.09,-0.08,-0.09,0.09,0.04,-0.05,-0.01,0.08,-0.06,0.1,0.06,0,-0.08,-0.08,,-0.09,-0.08,-0.05,,0.04,0.02,0.07,-0.03,-0.05,0.05,-0.06,-0.02,0.09,0.09,0.02, , , , , , , , , , , , , , , , , , , ,No
I. Habibi,Esia,1,MFFW,Red Artichokes,No,Yes,C,28,1992,7.27,0.18,1.07,0.11,12.51,1.17,0.1,0.19,1.06,18.48,-0.08,-0.08,0,0.07,0.02,0.13,0.09,0.02,17.48,23.13,75.88,313.81,73.2,7.61,8.98,84.57,7.41,8.97,82.79,1.98,3.25,60.9,0.05,0,0.06,0.1,2.03,0.37,-0.01,2.04,1.47,1,0.56,0.36,0.35,0.43,1.57,27.32,1.16,14.78,3.66,24.57,4.74,6.3,3.67,0.99,0.33,-0.04,0.66,1.03,2.38,0.24,-0.05, , , , , , , , , , , , , , , , , , , ,No
T. Lwanga,Reugha,,MFFW,Villainous Eagles,No,No,B,24,1996,18.7,0.04,0.69,0.28,28.69,0.8,0.22,-0.01,0.33,23.37,0.05,-0.07,0.09,0.11,0.13,-0.03,0.05,0.02,30.9,36.43,84.95,588.64,131.28,12.94,13.99,92.48,13.07,14.76,88.48,4.52,5.74,76.06,0.13,0.12,0.02,0.41,2.76,0.2,0.05,2.35,4.37,2.93,1.81,1.88,0.66,1.27,3.55,35.88,2.26,25.06,8.43,33.42,8.87,13.34,2.73,1.45,0.39,0.01,1.24,1.9,6.16,2.14,0, , , , , , , , , , , , , , , , , , , ,No
B. Waon,Badad,,DF,Weak Blimps,No,No,B,24,1996,0.05,-0.05,0,0.08,,-0.05,0.01,,,,0.07,0.02,0.05,0.09,0.04,,-0.1,0.1,-0.07,0.04,,0.03,-0.03,-0.08,0.03,,0.1,-0.05,,-0.06,-0.09,,-0.06,-0.03,0.01,0,0.03,-0.1,-0.03,0.07,-0.04,-0.06,-0.08,0,0.05,0.01,0.03,,0,0.09,-0.02,,0.02,-0.07,0.09,0.04,0.06,-0.01,0.02,-0.02,0.07,0.09,0.02, , , , , , , , , , , , , , , , , , , ,No
N. Nakacwa,Central Diasongo,,DF,Weak Blimps,No,No,B,25,1994,32.86,0.13,0.75,0.15,14.81,0.73,0.06,-0.01,0.46,20.93,-0.04,0.07,0.04,0.07,0.09,0.01,-0.03,-0.06,48.23,58.82,82.3,852.84,275.64,23.21,25.91,89.39,19.95,23.04,86.88,4.67,8,58.69,-0.06,0.11,0.04,0.85,2.49,1.33,0.69,4.19,2.11,0.84,1.13,0.68,0.2,0.79,1.84,44.82,1.07,11.13,2.92,25.73,4.53,4.12,2.69,1.94,0.3,-0.08,1.58,1.27,3.28,2.37,-0.04, , , , , , , , , , , , , , , , , , , ,No
